country_code,vat_gap,shadow
AT,1.0%,6.6%
BE,12.3%,16.0%
BG,8.6%,33.1%
CY,3.3%,23.9%
CZ,8.0%,13.5%
DE,9.7%,8.8%
DK,8.9%,9.7%
EE,10.3%,22.7%
EL,11.4%,20.93%
ES,7.6%,15.8%
FI,3.0%,10.8%
FR,5.6%,14.2%
HR,7.7%,29.7%
HU,7.4%,25.4%
IE,8.3%,10.1%
IT,15.0%,20.3%
LT,15.1%,22.4%
LU,0.18%,8.3%
LV,5.4%,19.9%
MT,24.2%,23.4%
NL,7.0%,8.2%
PL,16.0%,21.9%
PT,3.6%,15.7%
RO,30.0%,29.0%
SE,5.3%,10.8%
SI,4.9%,22.1%
SK,10.5%,13.1%
